Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.90512E-13,0.000000001,0,0.995758627,0,0
6.0611E-13,0.000000003,0.000000001,0.992963177,0,0
1.38573E-12,0.00000001,0.000000001,0.984962406,0,0
2.55192E-12,0.000000025,0.000000002,0.977636399,0,0
7.50089E-12,0.0000001,0.000000007,0.962598805,0,0
1.54146E-11,0.000000251,0.000000014,0.949585502,0,0
4.36106E-11,0.000001002,0.000000039,0.923558897,0,0
1.05509E-10,0.000002502,0.000000095,0.902930403,0,0
3.38944E-10,0.000010015,0.000000304,0.867842684,0,0
7.31305E-10,0.000025059,0.000000656,0.839695392,0,0
1.40475E-9,0.000050066,0.000001259,0.816753422,0,0
2.80071E-9,0.000100011,0.000002511,0.792943898,0,0
6.79573E-9,0.000250623,0.000006092,0.760844419,0,0
1.14802E-8,0.000500826,0.000010291,0.734239445,0,0
1.90711E-8,0.001000314,0.000017096,0.702332755,0,0
3.82272E-8,0.002502572,0.000034268,0.649797571,0,0
6.61027E-8,0.005000172,0.000059255,0.603142472,0,0
1.30569E-7,0.010004163,0.00011704,0.551956815,0,0
3.45743E-7,0.025008908,0.00030989,0.486697513,0,0
6.78156E-7,0.050050735,0.000607741,0.438692886,0,0
1.21145E-6,0.100000208,0.001085405,0.387410835,0,0
2.39952E-6,0.200197918,0.002148713,0.331116252,0,0
3.86739E-6,0.300182382,0.003460879,0.299980721,0,0
5.09801E-6,0.400463244,0.004559635,0.278099094,0.008,0
6.49333E-6,0.500457687,0.005803981,0.261422788,0.008,0
7.82979E-6,0.600417796,0.006994364,0.247927511,0.008,0
9.29255E-6,0.700689181,0.008295617,0.236649316,0.008,0
9.90835E-6,0.750413281,0.008842916,0.231636784,0.008,0
1.0693E-5,0.800694138,0.009539852,0.226913437,0.008,0
1.1993E-5,0.900303991,0.010693418,0.218430692,0.010666667,0
1.34375E-5,1.000678986,0.011973627,0.2108155,0.013333333,0
1.46982E-5,1.100649785,0.013089683,0.203971467,0.013333333,0
1.61934E-5,1.201178306,0.014411585,0.197705803,0.013333333,0
1.77064E-5,1.300771541,0.015747408,0.192018508,0.013333333,0
1.95224E-5,1.40159989,0.017348398,0.186813187,0.013333333,0
2.11116E-5,1.501313076,0.018747322,0.18208984,0.013333333,0
2.48774E-5,1.751490037,0.022054283,0.171582803,0.013333333,0
2.83819E-5,2.00005258,0.025121793,0.162521689,0.013333333,0
3.35015E-5,2.250221007,0.029585584,0.154713707,0.013333333,0
3.78603E-5,2.501543604,0.033370072,0.147869674,0.016,0
4.25987E-5,2.753637967,0.037467291,0.1417968,0.016,0
4.80367E-5,3.004101139,0.042148048,0.136495084,0.016,0
5.26002E-5,3.250743922,0.0460585,0.131771737,0.021333333,0
5.68533E-5,3.501676932,0.049688649,0.127337575,0.024,0
6.04412E-5,3.755290079,0.052740307,0.123192597,0.024,0
