species,latitude,longitude
Athene cunicularia,45.43005,-76.34969
Athene cunicularia,49.05,-122.3
Athene cunicularia,41.774384,-82.660446
Athene cunicularia,48.38028,-89.248795
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,42.54663,-82.49102
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,48.38028,-89.248795
Athene cunicularia,43.843994,-79.62917
Athene cunicularia,43.843994,-79.62917
Athene cunicularia,50.126741,-110.045242
Athene cunicularia,50.126741,-110.045242
Athene cunicularia,50.126741,-110.045242
Athene cunicularia,49.017712,-107.516324
Athene cunicularia,49.037075,-107.672404
Athene cunicularia,50.240533,-111.281634
Athene cunicularia,49.039502,-106.538668
Athene cunicularia,49.126812,-106.430079
Athene cunicularia,49.189462,-106.531845
Athene cunicularia,49.196566,-107.446006
Athene cunicularia,49.037325,-107.542578
Athene cunicularia,49.161846,-107.583112
Athene cunicularia,49.100449,-106.407269
Athene cunicularia,49.274445,-107.51054
Athene cunicularia,50.758027,-120.044092
Athene cunicularia,49.174134,-106.432342
Athene cunicularia,49.120167,-107.587676
Athene cunicularia,49.236259,-107.554112
Athene cunicularia,49.045353,-107.598178
Athene cunicularia,49.194398,-110.039279
Athene cunicularia,49.243583,-107.432885
Athene cunicularia,49.203996,-107.502758
Athene cunicularia,49.223645,-107.495106
Athene cunicularia,49.220875,-107.501702
Athene cunicularia,49.695379,-104.124842
Athene cunicularia,49.04974,-107.450926
Athene cunicularia,49.292749,-107.477451
Athene cunicularia,49.261714,-119.609745
Athene cunicularia,50.112679,-105.292811
Athene cunicularia,49.234366,-119.721485
Athene cunicularia,50.034473,-110.744226
Athene cunicularia,49.167019,-106.405869
Athene cunicularia,49.674167,-104.026673
Athene cunicularia,49.705492,-104.175926
Athene cunicularia,50.238523,-111.16244
Athene cunicularia,51.034486,-114.069672
Athene cunicularia,49.223588,-119.751053
Athene cunicularia,49.352859,-119.636686
Athene cunicularia,49.258913,-119.609267
Athene cunicularia,49.333464,-119.675586
Athene cunicularia,49.21289,-119.683081
Athene cunicularia,49.21273,-119.796994
Athene cunicularia,49.088726,-122.911321
Athene cunicularia,49.150773,-122.964591
Athene cunicularia,49.048371,-110.343592
Athene cunicularia,48.455181,-123.580739
Athene cunicularia,49.275714,-111.06639
Athene cunicularia,43.479313,-65.552509
Athene cunicularia,50.404532,-116.046119
Athene cunicularia,49.200045,-119.705718
Athene cunicularia,49.082843,-106.709854
Athene cunicularia,49.035898,-107.472994
Athene cunicularia,49.996502,-115.743168
Athene cunicularia,50.383677,-104.451828
Athene cunicularia,49.398071,-107.487876
Athene cunicularia,49.167915,-107.375337
Athene cunicularia,49.246927,-107.485005
Athene cunicularia,49.103337,-107.450321
Athene cunicularia,49.335686,-107.59891
Athene cunicularia,49.251259,-107.481081
Athene cunicularia,49.301294,-107.519347
Athene cunicularia,49.057106,-107.381127
Athene cunicularia,49.234106,-119.637143
Athene cunicularia,49.038546,-107.408983
Athene cunicularia,49.107977,-107.55692
Athene cunicularia,49.368456,-107.694331
Athene cunicularia,49.06523,-107.405363
Athene cunicularia,50.205186,-111.264363
Athene cunicularia,49.016694,-107.410124
Athene cunicularia,49.295949,-107.599488
Athene cunicularia,49.516305,-110.938592
Athene cunicularia,49.451146,-105.847293
Athene cunicularia,49.307416,-110.692442
Athene cunicularia,49.001497,-107.587968
Athene cunicularia,49.142877,-106.543172
Athene cunicularia,50.307258,-111.591179
Athene cunicularia,49.083958,-107.484935
Athene cunicularia,49.312836,-107.59608
Athene cunicularia,49.356551,-107.465824
Athene cunicularia,49.191171,-107.365085
Athene cunicularia,49.138406,-107.427336
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.724194,-66.75429
Athene cunicularia,48.610043,-68.10546
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,45.426876,-76.34326
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.60981,-68.10679
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,48.84918,-64.20826
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.722523,-66.74973
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.609936,-68.10634
Athene cunicularia,43.62827,-79.32917
Athene cunicularia,43.522167,-65.41165
Athene cunicularia,44.6708,-66.79609
Athene cunicularia,48.609955,-68.10611
Athene cunicularia,44.722523,-66.74973
Athene cunicularia,45.87,-64.28
Athene cunicularia,48.609955,-68.10611
